pt,score,server,prior_prob,live_prob,prior_odds,live_odds,gap
294,2-2 0-0 0-0,Jannik Sinner,0.56652,0.58174,1.765,1.719,0.01522
295,2-2 0-0 0-15,Jannik Sinner,0.52288,0.52338,1.912,1.911,0.0005
296,2-2 0-0 0-30,Jannik Sinner,0.46468,0.45454,2.152,2.2,-0.01014
297,2-2 0-0 15-30,Jannik Sinner,0.50531,0.50265,1.979,1.989,-0.00266
298,2-2 0-0 15-40,Jannik Sinner,0.42996,0.42072,2.326,2.377,-0.00924
299,2-2 0-0 30-40,Jannik Sinner,0.4768,0.47238,2.097,2.117,-0.00442
300,2-2 0-1 0-0,Carlos Alcaraz,0.35706,0.35807,2.801,2.793,0.00101
301,2-2 0-1 15-0,Carlos Alcaraz,0.32474,0.31422,3.079,3.183,-0.01052
302,2-2 0-1 30-0,Carlos Alcaraz,0.2983,0.27674,3.352,3.613,-0.02155
303,2-2 0-1 30-15,Carlos Alcaraz,0.32262,0.31615,3.1,3.163,-0.00647
304,2-2 0-1 40-15,Carlos Alcaraz,0.29066,0.27287,3.44,3.665,-0.01779
305,2-2 0-2 0-0,Jannik Sinner,0.27487,0.24705,3.638,4.048,-0.02782
306,2-2 0-2 15-0,Jannik Sinner,0.29717,0.27801,3.365,3.597,-0.01916
307,2-2 0-2 15-15,Jannik Sinner,0.26991,0.23998,3.705,4.167,-0.02993
308,2-2 0-2 30-15,Jannik Sinner,0.298,0.27639,3.356,3.618,-0.0216
309,2-2 0-2 40-15,Jannik Sinner,0.31939,0.30731,3.131,3.254,-0.01207
310,2-2 1-2 0-0,Carlos Alcaraz,0.32927,0.32589,3.037,3.068,-0.00338
311,2-2 1-2 15-0,Carlos Alcaraz,0.29341,0.28062,3.408,3.564,-0.01279
312,2-2 1-2 30-0,Carlos Alcaraz,0.26408,0.24273,3.787,4.12,-0.02135
313,2-2 1-2 30-15,Carlos Alcaraz,0.29106,0.28215,3.436,3.544,-0.00891
314,2-2 1-2 30-30,Carlos Alcaraz,0.34197,0.34605,2.924,2.89,0.00408
315,2-2 1-2 40-30,Carlos Alcaraz,0.28074,0.27561,3.562,3.628,-0.00513
316,2-2 1-2 40-40,Carlos Alcaraz,0.34197,0.3509,2.924,2.85,0.00893
317,2-2 1-2 40-AD,Carlos Alcaraz,0.42986,0.44866,2.326,2.229,0.01879
318,2-2 1-2 40-40,Carlos Alcaraz,0.34197,0.35577,2.924,2.811,0.0138
319,2-2 1-2 AD-40,Carlos Alcaraz,0.28074,0.28433,3.562,3.517,0.00358
320,2-2 1-2 40-40,Carlos Alcaraz,0.34197,0.36034,2.924,2.775,0.01837
321,2-2 1-2 40-AD,Carlos Alcaraz,0.42986,0.45795,2.326,2.184,0.02809
322,2-2 1-2 40-40,Carlos Alcaraz,0.34197,0.36493,2.924,2.74,0.02296
323,2-2 1-2 AD-40,Carlos Alcaraz,0.28074,0.29287,3.562,3.415,0.01213
324,2-2 1-3 0-0,Jannik Sinner,0.23809,0.23801,4.2,4.201,-7e-05
325,2-2 1-3 15-0,Jannik Sinner,0.26031,0.26902,3.842,3.717,0.00871
326,2-2 1-3 15-15,Jannik Sinner,0.23314,0.23087,4.289,4.331,-0.00227
327,2-2 1-3 30-15,Jannik Sinner,0.26113,0.26777,3.829,3.735,0.00663
328,2-2 1-3 30-30,Jannik Sinner,0.22795,0.22381,4.387,4.468,-0.00414
329,2-2 1-3 40-30,Jannik Sinner,0.26713,0.27206,3.744,3.676,0.00493
330,2-2 2-3 0-0,Carlos Alcaraz,0.2923,0.30774,3.421,3.249,0.01544
331,2-2 2-3 15-0,Carlos Alcaraz,0.25152,0.25741,3.976,3.885,0.00589
332,2-2 2-3 15-15,Carlos Alcaraz,0.29941,0.31769,3.34,3.148,0.01828
333,2-2 2-3 15-30,Carlos Alcaraz,0.37199,0.40095,2.688,2.494,0.02896
334,2-2 2-3 30-30,Carlos Alcaraz,0.30675,0.32761,3.26,3.052,0.02086
335,2-2 2-3 40-30,Carlos Alcaraz,0.23711,0.24843,4.218,4.025,0.01133
336,2-2 2-4 0-0,Jannik Sinner,0.18859,0.18949,5.302,5.277,0.0009
337,2-2 2-4 15-0,Jannik Sinner,0.20936,0.2174,4.776,4.6,0.00804
338,2-2 2-4 30-0,Jannik Sinner,0.22567,0.24066,4.431,4.155,0.01499
339,2-2 2-4 40-0,Jannik Sinner,0.23566,0.25651,4.243,3.899,0.02085
340,2-2 3-4 0-0,Carlos Alcaraz,0.23926,0.2645,4.18,3.781,0.02524
341,2-2 3-4 15-0,Carlos Alcaraz,0.19102,0.20664,5.235,4.839,0.01562
342,2-2 3-4 15-15,Carlos Alcaraz,0.24766,0.27544,4.038,3.63,0.02778
343,2-2 3-4 30-15,Carlos Alcaraz,0.18787,0.20547,5.323,4.867,0.0176
344,2-2 3-4 40-15,Carlos Alcaraz,0.14017,0.14904,7.134,6.71,0.00887
345,2-2 3-4 40-30,Carlos Alcaraz,0.17398,0.19283,5.748,5.186,0.01885
346,2-2 3-5 0-0,Jannik Sinner,0.11661,0.12504,8.575,7.998,0.00843
347,2-2 3-5 15-0,Jannik Sinner,0.13222,0.14516,7.563,6.889,0.01294
348,2-2 3-5 30-0,Jannik Sinner,0.14448,0.16135,6.921,6.198,0.01686
349,2-2 3-5 30-15,Jannik Sinner,0.1328,0.14479,7.53,6.907,0.01199
350,2-2 3-5 40-15,Jannik Sinner,0.14778,0.1641,6.767,6.094,0.01633
351,2-2 4-5 0-0,Carlos Alcaraz,0.15469,0.1739,6.464,5.75,0.01921
352,2-2 4-5 0-15,Carlos Alcaraz,0.24202,0.27458,4.132,3.642,0.03255
353,2-2 4-5 0-30,Carlos Alcaraz,0.35217,0.3967,2.84,2.521,0.04453
354,2-2 4-5 15-30,Carlos Alcaraz,0.27355,0.30837,3.656,3.243,0.03482
355,2-2 4-5 15-40,Carlos Alcaraz,0.41324,0.45814,2.42,2.183,0.0449
356,2-2 5-5 0-0,Jannik Sinner,0.5394,0.5842,1.854,1.712,0.0448
357,2-2 5-5 15-0,Jannik Sinner,0.5912,0.6421,1.691,1.557,0.0509
358,2-2 5-5 15-15,Jannik Sinner,0.52787,0.56963,1.894,1.756,0.04176
359,2-2 5-5 30-15,Jannik Sinner,0.59312,0.64147,1.686,1.559,0.04835
360,2-2 5-5 40-15,Jannik Sinner,0.64283,0.69596,1.556,1.437,0.05314
361,2-2 5-5 40-30,Jannik Sinner,0.6071,0.65349,1.647,1.53,0.04639
362,2-2 5-5 40-40,Jannik Sinner,0.51577,0.5521,1.939,1.811,0.03633
363,2-2 5-5 AD-40,Jannik Sinner,0.6071,0.65122,1.647,1.536,0.04412
364,2-2 5-5 40-40,Jannik Sinner,0.51577,0.54937,1.939,1.82,0.0336
365,2-2 5-5 AD-40,Jannik Sinner,0.6071,0.6488,1.647,1.541,0.0417
366,2-2 6-5 0-0,Carlos Alcaraz,0.66578,0.71406,1.502,1.4,0.04828
367,2-2 6-5 15-0,Carlos Alcaraz,0.61293,0.65323,1.632,1.531,0.0403
368,2-2 6-5 15-15,Carlos Alcaraz,0.67499,0.72312,1.482,1.383,0.04814
369,2-2 6-5 15-30,Carlos Alcaraz,0.76904,0.81643,1.3,1.225,0.04739
370,2-2 6-5 30-30,Carlos Alcaraz,0.6845,0.7318,1.461,1.366,0.0473
371,2-2 6-5 40-30,Carlos Alcaraz,0.59426,0.63541,1.683,1.574,0.04116
372,2-2 6-5 40-40,Carlos Alcaraz,0.6845,0.73414,1.461,1.362,0.04964
373,2-2 6-5 AD-40,Carlos Alcaraz,0.59426,0.63762,1.683,1.568,0.04337
374,2-2 6-6 0-0,Jannik Sinner,0.5368,0.57319,1.863,1.745,0.03639
375,2-2 6-6 1-0,Carlos Alcaraz,0.4217,0.45347,2.371,2.205,0.03176
376,2-2 6-6 2-0,Carlos Alcaraz,0.34271,0.36525,2.918,2.738,0.02254
377,2-2 6-6 0-3,Jannik Sinner,0.26548,0.27938,3.767,3.579,0.0139
378,2-2 6-6 0-4,Jannik Sinner,0.16582,0.17407,6.03,5.745,0.00825
379,2-2 6-6 5-0,Carlos Alcaraz,0.08961,0.09414,11.16,10.623,0.00453
380,2-2 6-6 6-0,Carlos Alcaraz,0.05052,0.05147,19.794,19.428,0.00095
381,2-2 6-6 0-7,Jannik Sinner,0.02399,0.02353,41.684,42.5,-0.00046
382,2-2 6-6 1-7,Jannik Sinner,0.03539,0.03602,28.259,27.764,0.00063
383,2-2 6-6 7-2,Carlos Alcaraz,0.05187,0.05436,19.279,18.396,0.00249
384,2-2 6-6 8-2,Carlos Alcaraz,0.02079,0.02115,48.101,47.271,0.00037
385,2-2 6-6 2-9,Jannik Sinner,0.00495,0.00486,202.13,205.952,-9e-05
