pt,score,server,prior_prob,live_prob,prior_odds,live_odds,gap
67,0-0 4-4 30-0,Jannik Sinner,0.64889,0.69394,1.541,1.441,0.04504
68,0-0 4-4 30-15,Jannik Sinner,0.63477,0.63771,1.575,1.568,0.00294
69,0-0 4-4 40-15,Jannik Sinner,0.65288,0.68319,1.532,1.464,0.03031
70,0-0 5-4 0-0,Carlos Alcaraz,0.66124,0.71624,1.512,1.396,0.055
71,0-0 5-4 15-0,Carlos Alcaraz,0.64244,0.66789,1.557,1.497,0.02545
72,0-0 5-4 15-15,Carlos Alcaraz,0.66451,0.73289,1.505,1.364,0.06838
73,0-0 5-4 30-15,Carlos Alcaraz,0.64121,0.68194,1.56,1.466,0.04073
74,0-0 5-4 30-30,Carlos Alcaraz,0.6679,0.74895,1.497,1.335,0.08105
75,0-0 5-4 30-40,Carlos Alcaraz,0.71397,0.82169,1.401,1.217,0.10772
76,1-0 0-0 0-0,Jannik Sinner,0.78011,0.89076,1.282,1.123,0.11065
77,1-0 0-0 15-0,Jannik Sinner,0.78906,0.90841,1.267,1.101,0.11935
78,1-0 0-0 30-0,Jannik Sinner,0.79609,0.92286,1.256,1.084,0.12676
79,1-0 0-0 30-15,Jannik Sinner,0.78939,0.9015,1.267,1.109,0.1121
80,1-0 0-0 30-30,Jannik Sinner,0.77602,0.87162,1.289,1.147,0.09559
81,1-0 0-0 40-30,Jannik Sinner,0.79181,0.89588,1.263,1.116,0.10407
82,1-0 0-0 40-40,Jannik Sinner,0.77602,0.86315,1.289,1.159,0.08712
83,1-0 0-0 AD-40,Jannik Sinner,0.79181,0.88834,1.263,1.126,0.09654
84,1-0 1-0 0-0,Carlos Alcaraz,0.80195,0.90711,1.247,1.102,0.10516
85,1-0 1-0 15-0,Carlos Alcaraz,0.79273,0.88656,1.261,1.128,0.09384
86,1-0 1-0 15-15,Carlos Alcaraz,0.80356,0.9136,1.244,1.095,0.11004
87,1-0 1-0 15-30,Carlos Alcaraz,0.81997,0.93758,1.22,1.067,0.11761
88,1-0 1-0 15-40,Carlos Alcaraz,0.84116,0.95713,1.189,1.045,0.11597
89,1-0 2-0 0-0,Jannik Sinner,0.86029,0.97019,1.162,1.031,0.1099
90,1-0 2-0 15-0,Jannik Sinner,0.86799,0.97624,1.152,1.024,0.10825
91,1-0 2-0 30-0,Jannik Sinner,0.87405,0.98084,1.144,1.02,0.10679
92,1-0 2-0 30-15,Jannik Sinner,0.86828,0.97397,1.152,1.027,0.10569
93,1-0 2-0 40-15,Jannik Sinner,0.87567,0.97927,1.142,1.021,0.1036
94,1-0 3-0 0-0,Carlos Alcaraz,0.87909,0.98285,1.138,1.017,0.10376
95,1-0 3-0 15-0,Carlos Alcaraz,0.87443,0.97801,1.144,1.022,0.10358
96,1-0 3-0 30-0,Carlos Alcaraz,0.87062,0.97249,1.149,1.028,0.10187
97,1-0 3-0 40-0,Carlos Alcaraz,0.86818,0.96632,1.152,1.035,0.09814
98,1-0 3-0 40-15,Carlos Alcaraz,0.86952,0.97382,1.15,1.027,0.1043
99,1-0 3-0 40-30,Carlos Alcaraz,0.87279,0.98039,1.146,1.02,0.1076
100,1-0 3-1 0-0,Jannik Sinner,0.86725,0.97476,1.153,1.026,0.10751
101,1-0 3-1 15-0,Jannik Sinner,0.87568,0.97999,1.142,1.02,0.10431
102,1-0 3-1 30-0,Jannik Sinner,0.8823,0.98389,1.133,1.016,0.10159
103,1-0 3-1 30-15,Jannik Sinner,0.87599,0.97805,1.142,1.022,0.10206
104,1-0 3-1 40-15,Jannik Sinner,0.88408,0.98261,1.131,1.018,0.09853
105,1-0 3-1 40-30,Jannik Sinner,0.87827,0.97649,1.139,1.024,0.09822
106,1-0 4-1 0-0,Carlos Alcaraz,0.88782,0.98168,1.126,1.019,0.09387
107,1-0 4-1 15-0,Carlos Alcaraz,0.88367,0.97689,1.132,1.024,0.09322
108,1-0 4-1 30-0,Carlos Alcaraz,0.88028,0.97153,1.136,1.029,0.09125
109,1-0 4-1 30-15,Carlos Alcaraz,0.8834,0.9783,1.132,1.022,0.0949
110,1-0 4-1 30-30,Carlos Alcaraz,0.88928,0.98416,1.125,1.016,0.09488
111,1-0 4-1 40-30,Carlos Alcaraz,0.88221,0.97934,1.134,1.021,0.09713
112,1-0 4-1 40-40,Carlos Alcaraz,0.88928,0.9852,1.125,1.015,0.09592
113,1-0 4-1 AD-40,Carlos Alcaraz,0.88221,0.98064,1.134,1.02,0.09843
114,1-0 4-2 0-0,Jannik Sinner,0.87728,0.97551,1.14,1.025,0.09823
